Vmag,Plx,B-V,SpType
9.75,8.81,0.69,G5V
9.66,11.5,0.69,G5V
9.31,12.38,0.69,G5V
7.7,27.28,0.691,G5V
9.56,10.88,0.692,G5V
9.34,10.46,0.695,G5V
9.46,9.37,0.698,G5V
8.83,11.34,0.7,G5V
8.67,12.22,0.7,G5V
9.58,12.24,0.7,G5V
9.99,5.58,0.701,G5V
8.41,18.88,0.701,G5V
8.64,19.93,0.701,G5V
9.26,10.13,0.705,G5V
8.96,12.98,0.71,G5V
8.8,19.11,0.71,G5V
8.13,22.09,0.71,G5V
8.94,16.98,0.711,G5V
7.92,28.29,0.714,G5V
9.36,4.86,0.715,G5V
7.88,22.7,0.716,G5V
9.09,7.24,0.722,G5V
9.36,8.2,0.724,G5V
9.3,8.91,0.724,G5V
9.73,6.89,0.725,G5V
8.41,24.51,0.725,G5V
9.47,10.53,0.727,G5V
8.76,16.32,0.727,G5V
8.9,10.45,0.735,G5V
9.59,9.63,0.737,G5V
9.49,16.32,0.739,G5V
9.12,9.92,0.74,G5V
8.1,4.79,0.747,G5V
9.11,6.69,0.753,G5V
8.94,6.02,0.756,G5V
9.66,-0.26,0.787,G5V
9.53,9.78,0.817,G5V
7.77,7.56,0.856,G5V
7.99,3.49,1.112,G5V
5.96,9.89,0.851,G5V...
8.94,7.97,0.676,G5VCN...
9.23,12.36,0.737,G5VCN...
5.17,132.4,0.704,G5Vp
9.63,13.59,0.62,G5Vw...
9.02,6.56,0.803,G6/8wF8IV/V
7.33,0.67,1.036,G6/G8II/III
8.8,3.14,0.882,G6/G8III
6.62,7.33,0.9,G6/G8III
6.33,8.26,0.947,G6/G8III
9.41,2.46,0.967,G6/G8III
8.1,2.69,0.867,G6/G8III/IV
7.75,10.34,0.92,G6/G8III/IV
9.65,-0.16,0.94,G6/G8III/IV
9.46,1.28,0.94,G6/G8III/IV
8.84,8.49,0.759,G6/G8III/IVe
8.93,0.58,0.82,G6/G8IIIw..
7.93,10.54,0.807,G6/G8IV
9.47,1.88,0.981,G6/G8IV
9.12,1.81,0.995,G6/G8IV
9.59,16.56,0.699,G6/G8V
9.6,15.71,0.759,G6/G8V
9.8,8.92,0.79,G6/G8V
9.77,1.76,0.8,G6/G8V
8.97,20.86,0.807,G6/G8V
8.91,5.49,0.813,G6/G8V
9.54,12.52,0.846,G6/G8V
10.23,10.07,0.786,G6/G8V:
7.88,5.58,0.571,G6:III:+...
7.34,0.91,0.924,G6:IIICNpva
8.72,0.76,0.909,G6II
6.41,7.9,0.888,G6II/III
8.51,4.18,0.873,G6III
8.64,1.96,0.889,G6III
8.61,1.09,0.891,G6III
9.17,1.66,0.911,G6III
8.28,2.63,0.912,G6III
8.16,4.63,0.921,G6III
8.32,3.25,0.936,G6III
9.43,0.91,0.94,G6III
8.43,1.93,0.94,G6III
7.41,4.28,0.947,G6III
8.78,1.37,0.953,G6III
8,1.53,0.953,G6III
8.72,2.21,0.965,G6III
9.87,2.58,0.97,G6III
8.54,3.34,0.97,G6III
7.07,5.15,0.99,G6III
8.35,3.77,1.004,G6III
5.44,4.63,1.076,G6III
7.83,6.1,1.024,G6III...
8.38,3.25,0.915,G6III/IV
8.79,3.77,0.904,G6III/IVw
6.04,7.07,1.081,G6III:
9.09,1.84,1.083,G6III:
7.15,23.3,0.712,G6IV
9.48,13.09,0.735,G6IV
8.09,3.07,0.832,G6IV
9.22,3.83,0.864,G6IV
8.96,18.3,0.693,G6IV/V
9.21,10.82,0.695,G6IV/V
9.28,5.46,0.714,G6IV/V
8.09,6.63,0.749,G6IV/V
9.14,4.83,0.796,G6IV/V
9.26,16.85,0.831,G6IV/V
9.21,2.17,0.85,G6IV/V
9.43,8.51,0.66,G6V
9.81,13.11,0.661,G6V
9.38,13.46,0.662,G6V
9.33,8.25,0.676,G6V
9.51,13.04,0.677,G6V
9.18,16.84,0.679,G6V
8.74,21.09,0.685,G6V
6.52,47.65,0.686,G6V
9.12,2.4,0.687,G6V
9.81,8.2,0.689,G6V
8.57,22.9,0.695,G6V
9.11,10.52,0.697,G6V
8.6,15.08,0.7,G6V
8.53,20.29,0.705,G6V
9.25,5.8,0.714,G6V
8.5,19.39,0.714,G6V
8.4,22.59,0.714,G6V
9.54,9.8,0.722,G6V
8.92,21.15,0.722,G6V
9.52,9.93,0.727,G6V
8.72,19.26,0.73,G6V
9.49,16.17,0.732,G6V
8.76,22.86,0.743,G6V
9.02,21.72,0.745,G6V
8.78,23.09,0.747,G6V
8.46,20.6,0.748,G6V
6.59,56.76,0.749,G6V
9.41,5.85,0.75,G6V
8.83,20.46,0.761,G6V
8.65,23.84,0.778,G6V
9.21,4.86,0.784,G6V
9.75,2.37,0.808,G6V
9.03,4.83,0.824,G6V
8.29,24.75,0.684,G6Vw...
5.62,10.35,0.949,G7III
5.45,15.52,1.095,G7III
7.7,3.05,1.198,G7III
6.22,4.5,0.97,G7II-III
9.2,0.5,0.931,G8/K0III
9.46,4.77,0.944,G8/K0III
7.67,4.02,0.95,G8/K0III
6.66,6.07,0.961,G8/K0III
7.26,10.48,0.962,G8/K0III
7.01,6.83,0.967,G8/K0III
8.54,1.63,0.97,G8/K0III
8.03,4.12,0.97,G8/K0III
5.49,9.78,0.978,G8/K0III
8.82,1.39,0.979,G8/K0III
7.91,3.03,0.983,G8/K0III
6.49,4.63,0.983,G8/K0III
9.15,6.8,0.987,G8/K0III
8.91,-0.02,0.996,G8/K0III
8.56,2.75,0.997,G8/K0III
8.69,3.64,0.999,G8/K0III
7.83,4.04,1.001,G8/K0III
7.17,6.23,1.002,G8/K0III
8.95,1.89,1.01,G8/K0III
8.85,4.21,1.01,G8/K0III
9.46,1.89,1.024,G8/K0III
7.32,4.71,1.031,G8/K0III
8.83,2.57,1.044,G8/K0III
8.15,4.44,1.045,G8/K0III
8.95,3.97,1.052,G8/K0III
9.73,7.98,1.056,G8/K0III
9.48,0.22,1.061,G8/K0III
7.96,4.48,1.07,G8/K0III
9.36,0.01,1.094,G8/K0III
8.77,1.77,1.108,G8/K0III
6.82,2.82,1.273,G8/K0III
8.81,2.57,0.45,G8/K0III/IV
9.07,5.96,0.916,G8/K0III/IV
7.63,5.5,0.924,G8/K0III/IV
8.69,4.47,0.962,G8/K0III/IV
9.15,2.18,1.034,G8/K0III/IV
9.6,1.74,1.022,G8/K0III:
9.53,2.96,1.07,G8/K0III:
8.98,1.08,1.257,G8/K0III:
8.89,10.92,0.667,G8/K0III+..
7.24,14.48,0.893,G8/K0IV
8.93,2.39,0.956,G8/K0IV
9.01,4.43,1.015,G8/K0IV
9.01,0.47,1.084,G8/K0IV
9.45,2.07,1.115,G8/K0IV
9.69,12.43,0.764,G8/K0IV/V
9.83,8.69,0.866,G8/K0IV/V
9.16,5.46,0.889,G8/K0IV/V
9.69,1.81,0.894,G8/K0IV/V
9.97,4.77,1.7,G8/K0IV/V
9.02,3.93,1.003,G8/K0IVp...
8.17,15.34,0.636,G8/K0V
8.66,21.09,0.743,G8/K0V
9.1,21.57,0.764,G8/K0V
7.15,53.09,0.769,G8/K0V
9.77,8.84,0.775,G8/K0V
9.53,9.32,0.785,G8/K0V
8.95,21.63,0.795,G8/K0V
9.69,17.91,0.824,G8/K0V
9.11,11.89,0.83,G8/K0V
8.97,5.12,0.86,G8/K0V
8.57,7.79,0.874,G8/K0V
9.65,7.91,0.877,G8/K0V
9.91,8.71,1.071,G8/K0V
9.1,24.04,0.772,G8/K0V:
9.08,2.01,1.16,G8/K0V:
8.58,16.89,0.648,G8/K0V:+...
6.47,7.63,0.946,G8II
6.46,6.51,0.962,G8II
6.26,6.95,0.965,G8II
7.09,6.89,0.969,G8II
6.54,7.14,0.97,G8II
8.05,4.44,0.98,G8II
5.51,12.45,0.987,G8II
6.91,3.11,1.12,G8II
9.48,0.22,1.141,G8II
7.06,7.14,0.365,G8II/III
6.36,6.09,0.906,G8II/III
8.55,-0.47,0.931,G8II/III
8.88,4.86,0.996,G8II/III
6.9,4.84,0.01,G8III
8.51,22.51,0.73,G8III
8.76,23.8,0.746,G8III
8.62,14.22,0.756,G8III
8.92,6.21,0.843,G8III
8.71,1.19,0.864,G8III
4.82,12.22,0.864,G8III
8.62,2.53,0.877,G8III
6.71,6.57,0.883,G8III
5.34,11.71,0.883,G8III
8.57,4.01,0.89,G8III
9.07,2.45,0.891,G8III
8.38,3.59,0.891,G8III
5.3,9.47,0.891,G8III
8.74,3.29,0.892,G8III
6.16,6.71,0.893,G8III
8.05,5.94,0.895,G8III
6.3,6.24,0.895,G8III
6.28,8.4,0.897,G8III
9.14,0.76,0.898,G8III
5.74,5.08,0.898,G8III
8.17,-0.86,0.899,G8III
7.8,3.48,0.9,G8III
7.98,5.36,0.9,G8III
5.39,13.86,0.9,G8III
8.55,2.87,0.902,G8III
7.21,5.19,0.903,G8III
7.1,5.22,0.906,G8III
8.16,2.48,0.909,G8III
6.49,6.48,0.91,G8III
5.71,5.97,0.911,G8III
7.58,4.34,0.913,G8III
7.21,4.78,0.916,G8III
8.34,2.28,0.918,G8III
7.83,6.13,0.918,G8III
8.71,3.1,0.922,G8III
9.32,2.61,0.923,G8III
7.47,5.94,0.925,G8III
6.93,6.8,0.928,G8III
7.18,5.59,0.932,G8III
7.81,4.61,0.933,G8III
6.12,8.86,0.935,G8III
6.85,6.42,0.937,G8III
8.62,1.54,0.94,G8III
8.98,4.94,0.94,G8III
8.71,2.33,0.941,G8III
7.86,3.81,0.941,G8III
5.98,7.16,0.941,G8III
8.62,1.44,0.943,G8III
8.68,4.77,0.944,G8III
7.93,1.96,0.95,G8III
8.76,3.22,0.95,G8III
8.04,4.46,0.951,G8III
8.37,3.25,0.952,G8III
4.59,13.19,0.953,G8III
8.7,4.58,0.954,G8III
5.22,7.65,0.954,G8III
8.35,3.06,0.955,G8III
7.62,3.73,0.955,G8III
9.01,2.11,0.956,G8III
9.02,2.37,0.958,G8III
7.67,6.81,0.958,G8III
6.17,12.17,0.959,G8III
8.34,5.64,0.96,G8III
6.82,5.58,0.962,G8III
6.14,8.91,0.962,G8III
8.45,3.45,0.964,G8III
6.38,7.58,0.965,G8III
7.97,3.61,0.967,G8III
9.07,1.32,0.97,G8III
8.14,2.71,0.972,G8III
7.58,4.42,0.972,G8III
3.62,11.09,0.974,G8III
8.71,1.3,0.977,G8III
9.33,3.04,0.977,G8III
8.4,3.45,0.977,G8III
8.74,1.81,0.98,G8III
8.55,2.13,0.98,G8III
7.62,6.24,0.98,G8III
8.95,3.11,0.989,G8III
7.52,4.12,0.99,G8III
8.89,5.75,0.991,G8III
8.27,5.28,0.994,G8III
8.08,3.05,0.995,G8III
7.67,2.08,0.997,G8III
7.58,3.43,1,G8III
8.49,2.8,1.005,G8III
8.42,4.14,1.005,G8III
8.3,3.19,1.007,G8III
8.7,0.7,1.009,G8III
8.73,3.17,1.01,G8III
7.14,4.48,1.01,G8III
8.21,3.67,1.013,G8III
8.4,2.19,1.014,G8III
8.52,4.19,1.015,G8III
8.69,1.48,1.019,G8III
8.86,1.67,1.02,G8III
8.93,0.95,1.025,G8III
8.96,2.44,1.025,G8III
7.94,4.68,1.028,G8III
7.41,5.58,1.028,G8III
6.85,8.21,1.028,G8III
8.23,2.83,1.032,G8III
8.89,1.97,1.033,G8III
8.66,2.04,1.036,G8III
7.71,5.02,1.038,G8III
8.85,3.21,1.039,G8III
9.14,2.85,1.041,G8III
8.59,2.76,1.042,G8III
9.16,-1.67,1.045,G8III
9.45,2.5,1.049,G8III
8.42,4.18,1.05,G8III
8.7,2.07,1.055,G8III
9.01,1.43,1.06,G8III
5.87,1.57,1.073,G8III
9.12,1.35,1.077,G8III
7.97,1.52,1.077,G8III
8.77,2.98,1.08,G8III
8.57,0.27,1.082,G8III
9.48,1.93,1.087,G8III
9.65,-0.15,1.09,G8III
8.55,0.36,1.093,G8III
10.84,-1.34,1.1,G8III
5.92,4.93,1.104,G8III
9.4,2.85,1.108,G8III
8.17,2.8,1.109,G8III
7.91,0.86,1.131,G8III
6.75,4.35,1.14,G8III
7.93,1.76,1.143,G8III
7.86,3.85,1.153,G8III
9.89,0.86,1.159,G8III
7.84,0.69,1.195,G8III
7.91,2.71,1.205,G8III
9.09,3.58,1.205,G8III
7.83,1.12,1.311,G8III
6.43,5.76,0.838,G8III...
5.01,13.46,0.883,G8III...
5.69,10.18,1.06,G8III...
8.82,3.36,0.827,G8III/IV
8.22,2.99,0.859,G8III/IV
9.07,2.69,0.861,G8III/IV
9.25,1.2,0.891,G8III/IV
8.28,5.82,0.902,G8III/IV
8.11,5.9,0.906,G8III/IV
8.06,3.51,0.911,G8III/IV
8.01,2.89,0.912,G8III/IV
8.26,4.52,0.912,G8III/IV
8.68,3,0.913,G8III/IV
8.62,2.91,0.918,G8III/IV
6.17,9.76,0.924,G8III/IV
8.78,3.92,0.926,G8III/IV
9.01,3.92,0.932,G8III/IV
6.93,4.29,0.94,G8III/IV
8.28,0.98,0.944,G8III/IV
7.48,2.82,0.944,G8III/IV
8.1,4.01,0.944,G8III/IV
8.64,0.65,0.95,G8III/IV
9.04,1.77,0.95,G8III/IV
8.43,1.87,0.952,G8III/IV
8.83,2.13,0.966,G8III/IV
8.61,1.24,0.978,G8III/IV
8.99,1.59,0.979,G8III/IV
8.98,3.5,0.98,G8III/IV
8.01,7.14,0.988,G8III/IV
8.39,4.58,0.991,G8III/IV
9.45,-1.03,0.995,G8III/IV
8.4,2.56,1.019,G8III/IV
9.33,0.82,1.02,G8III/IV
8.74,-0.73,1.021,G8III/IV
6.63,7.76,1.03,G8III/IV
9.08,1.56,1.031,G8III/IV
9.24,2.29,1.065,G8III/IV
8.86,2.14,1.07,G8III/IV
7.77,3.24,1.073,G8III/IV
8.76,0.61,1.081,G8III/IV
8.83,2.37,1.083,G8III/IV
9.38,0.15,0.58,G8III:
5.99,9.79,1.034,G8III:
9.6,-0.71,1.205,G8III:
7.46,5.31,0.729,G8III+...
6.28,8.93,0.932,G8IIICN...
8.91,4.04,1.047,G8IIICN...
8.12,3.11,1.103,G8IIICN...
9.1,2.38,1.13,G8IIICN...
6.12,7.38,0.919,G8II-III
7.37,5.52,0.955,G8II-III
7.04,5.52,1.017,G8II-III
5.28,7.3,0.972,G8II-IIIvar
7.3,0.87,0.894,G8III-IV
6.86,6.5,0.897,G8III-IV
6.84,7.32,0.921,G8III-IV
4.4,13.44,0.94,G8III-IV
4.62,15.84,0.957,G8III-IV
7.45,4.05,0.979,G8III-IV
6.74,7.67,0.993,G8III-IV
7.69,1.02,1.004,G8III-IV
7.89,4.43,1.011,G8III-IV
7.86,5.02,1.012,G8III-IV
8.25,2.29,1.435,G8III-IV
6.32,7.08,0.879,G8III-IV SB
6.58,4.78,1.445,G8III-IV...
9.59,0.85,1,G8IIIp
3.32,16.46,0.885,G8IIIvar
8.75,1.62,0.756,G8IV
8.4,14.04,0.761,G8IV
9.16,9.89,0.782,G8IV
6.71,13.94,0.783,G8IV
8.32,16.36,0.796,G8IV
7.35,11.61,0.803,G8IV
7.17,22.34,0.808,G8IV
9.75,15.12,0.814,G8IV
7.95,11.36,0.818,G8IV
6.28,16.98,0.829,G8IV
9.08,4.98,0.835,G8IV
8.2,8.59,0.837,G8IV
7.25,9.84,0.84,G8IV
7.59,10.02,0.85,G8IV
8.44,5.18,0.875,G8IV
7.99,8.14,0.876,G8IV
8.7,4.63,0.877,G8IV
8.36,3.98,0.879,G8IV
7.14,8.99,0.885,G8IV
6.92,7.82,0.891,G8IV
9,6.32,0.903,G8IV
8.3,5.79,0.905,G8IV
8.8,4.56,0.908,G8IV
9.05,4.73,0.909,G8IV
9.53,2.76,0.916,G8IV
9.35,2.9,0.921,G8IV
9.16,9.14,0.922,G8IV
8.39,5.35,0.928,G8IV
8.36,2.16,0.939,G8IV
9.53,5.26,0.94,G8IV
6.44,5.67,0.94,G8IV
8.66,2.27,0.957,G8IV
9.02,3.68,0.96,G8IV
8.37,4.78,0.96,G8IV
7.76,7.41,0.967,G8IV
9.03,1.65,0.972,G8IV
9.15,2.56,0.972,G8IV
7.99,3.39,0.983,G8IV
9.11,1.74,0.99,G8IV
7.65,3.93,0.992,G8IV
9.22,2.55,0.993,G8IV
7.59,5.36,1.005,G8IV
8.56,3.42,1.008,G8IV
8.01,1.32,1.023,G8IV
8.74,5.44,1.041,G8IV
8.56,4.1,1.043,G8IV
7.6,5.91,1.064,G8IV
9.44,0.58,1.069,G8IV
8.91,1.87,1.074,G8IV
8.29,7.44,1.096,G8IV
8.66,2.59,1.129,G8IV
7.48,6.68,0.949,G8IV...
9.59,10.29,0.685,G8IV/V
9.69,9.67,0.703,G8IV/V
9.31,13.63,0.733,G8IV/V
9.85,1.1,0.74,G8IV/V
9.37,6.49,0.772,G8IV/V
9.86,11.75,0.787,G8IV/V
9.26,8.64,0.788,G8IV/V
9.6,7.41,0.822,G8IV/V
9.57,10.45,0.822,G8IV/V
7.69,11.72,0.839,G8IV/V
9.72,4.92,0.914,G8IV/V
9.71,0.87,0.915,G8IV/V
9.82,7.16,0.931,G8IV:
6.91,8.37,0.95,G8IV:
7.27,36.15,0.681,G8IV+...
9.67,10.99,0.45,G8V
8.56,19.04,0.648,G8V
9.56,13.56,0.665,G8V
10.1,8.64,0.67,G8V
9.6,10.48,0.685,G8V
9.38,3.96,0.705,G8V
9.7,10.31,0.716,G8V
8.69,22.16,0.722,G8V
9.84,5.59,0.723,G8V
6.99,22.29,0.723,G8V
7.45,34.3,0.726,G8V
3.49,274.17,0.727,G8V
7.74,29.41,0.733,G8V
9.39,12.49,0.734,G8V
9.64,8.18,0.735,G8V
9.37,16.01,0.737,G8V
9.51,14.64,0.74,G8V
9.76,19.25,0.74,G8V
9.58,15.62,0.749,G8V
7.74,26.42,0.754,G8V
8.96,19.94,0.758,G8V
8.92,19.12,0.76,G8V
9.24,13.33,0.763,G8V
9.09,16.75,0.763,G8V
8.6,18.51,0.763,G8V
8.59,22.53,0.769,G8V
9.73,10.37,0.773,G8V
8.89,16.87,0.774,G8V
7.93,14.15,0.775,G8V
9.17,16.94,0.78,G8V
8.24,25.29,0.78,G8V
9.11,5.24,0.79,G8V
9.21,6.04,0.795,G8V
9.2,8.35,0.811,G8V
9.34,-2.57,0.815,G8V
8.41,10.14,0.819,G8V
9.58,17.12,0.821,G8V
9.48,5.3,0.835,G8V
7.63,10.47,0.843,G8V
8.53,6.13,0.848,G8V
8.75,6.82,0.851,G8V
9.7,5.97,0.893,G8V
9.66,0.69,0.899,G8V
8.91,5.9,0.905,G8V
8.94,3.38,0.98,G8V
8.58,4.98,1.02,G8V
8.44,1.63,1.027,G8V
8.58,2.55,1.027,G8V
7.81,4.32,1.082,G8V
8.34,6.17,1.2,G8V
8.73,2.82,1.397,G8V
8.04,4.51,1.44,G8V
9.91,3.97,0.737,G8V:
6.76,3.56,1.074,G9Ib
7.98,4.41,0.97,G9III
5.91,9.95,0.97,G9III
7.61,3.08,0.975,G9III
7.95,4.08,0.979,G9III
8.23,4.41,0.986,G9III
6.68,5.13,0.986,G9III
9.04,3.96,1,G9III
8.28,2.6,1.032,G9III
9.06,1.66,1.035,G9III
5.57,11.17,1.043,G9III
6.32,6.95,1.099,G9III:
8.86,3.89,1.035,G9II-III
6.18,7.63,1.032,G9III-IV
8.04,4.6,1.039,G9III-IV
5.83,6.48,1.042,G9III-IV
8.21,3.71,1.1,G9III-IV
7.82,39.06,0.755,G9V
8.22,16.29,0.83,G9V
9.29,3.85,0.588,GIII:+...
7.04,4.06,0.907,K0/1III +G
9.35,12.68,0.748,K0/1V (+K)
9.14,1.31,0.927,K0/K1III
6.71,5.27,0.976,K0/K1III
8.48,3.32,1.056,K0/K1III
7.98,2.88,1.068,K0/K1III
7.46,4.15,1.072,K0/K1III
9.6,4.23,1.075,K0/K1III
8.21,3.5,1.087,K0/K1III
7.39,4.61,1.107,K0/K1III
6.11,8.87,1.109,K0/K1III
6.43,8.43,1.122,K0/K1III
8.69,2.19,1.126,K0/K1III
8.81,5.36,1.13,K0/K1III
8.99,0.99,1.157,K0/K1III
7.31,1.86,1.164,K0/K1III
7.56,3.39,1.169,K0/K1III
6.72,8.31,1.176,K0/K1III
8.82,0.21,1.183,K0/K1III
9.37,4.33,1.018,K0/K1III:
7.22,14.95,0.71,K0/K1III+..
8.38,3.53,0.781,K0/K1III+..
8.66,3.7,1.052,K0/K1IIIp..
8.3,8.6,1.011,K0/K1IV
9.14,3.64,1.038,K0/K1IV
7.83,6.34,1.074,K0/K1IV
9.32,7.11,0.929,K0/K1IV/V:
9.64,6.65,1.012,K0/K1IV:
7.83,28.23,0.815,K0/K1V
9.77,7.85,0.95,K0/K1V
8.45,30.82,0.848,K0/K1V:
10.18,15.79,0.923,K0/K1V:
9.42,11.19,0.831,K0/K1VCN...
7.79,12.92,0.772,K0:Ib
7.5,5.94,1.032,K0:III
8.03,9.53,0.515,K0:III:+...
5.69,1.67,1.435,K0Ib+...
6.19,9.89,0.937,K0II
8.25,1.86,1.026,K0II
8.66,1.92,1.331,K0II
5.87,9.91,0.966,K0II/III
8.71,1.14,1.04,K0II/III
9.33,1.29,1.047,K0II/III
6.4,6.85,0.995,K0II/IIICN
6.51,6.65,0.97,K0II/IIICN.
9.42,11.31,0.843,K0III
8.78,6.39,0.844,K0III
6.7,7.28,0.872,K0III
8.47,3.52,0.888,K0III
8.8,4.27,0.893,K0III
8.53,4.07,0.898,K0III
9.09,2.7,0.9,K0III
9.11,2.87,0.905,K0III
7.99,8.04,0.907,K0III
8.64,7.3,0.909,K0III
9.23,1.06,0.91,K0III
8.39,4.95,0.912,K0III
9.04,2.72,0.915,K0III
6.57,6.49,0.921,K0III
8.72,6.37,0.923,K0III
8.45,3.06,0.924,K0III
8.24,1.92,0.926,K0III
8.25,6.94,0.927,K0III
8.14,2.73,0.933,K0III
8.85,2.74,0.935,K0III
5.66,8.94,0.939,K0III
7.64,5.07,0.94,K0III
7.81,4.86,0.942,K0III
4.26,12.63,0.942,K0III
5.9,17.7,0.944,K0III
8.34,3.84,0.945,K0III
9.02,2.36,0.947,K0III
8.12,2.93,0.947,K0III
8.03,4.52,0.947,K0III
6.89,4.7,0.951,K0III
4.27,17.14,0.952,K0III
8.11,4.05,0.958,K0III
7.93,4.37,0.964,K0III
8.66,4.66,0.965,K0III
8.13,6.91,0.97,K0III
8.13,3.01,0.971,K0III
7.59,6.41,0.972,K0III
9.14,2.01,0.973,K0III
5.94,10.57,0.975,K0III
6.24,7.78,0.976,K0III
9.11,3.45,0.978,K0III
8.79,0.04,0.979,K0III
8.79,3.13,0.979,K0III
10.66,2.03,0.98,K0III
8.46,3.31,0.98,K0III
9.4,3.98,0.98,K0III
7.53,4.24,0.98,K0III
9.18,2.16,0.981,K0III
7.67,3.52,0.983,K0III
7.97,4.3,0.986,K0III
7.2,4.69,0.986,K0III
6.52,6.46,0.987,K0III
9.23,0.65,0.988,K0III
9.07,2.49,0.988,K0III
6.84,6.28,0.989,K0III
9.04,6.97,0.989,K0III
9.06,2.39,0.99,K0III
7.39,4.76,0.99,K0III
6.58,6.88,0.99,K0III
7.69,4.71,0.991,K0III
4.68,15.96,0.991,K0III
8.62,7.41,0.992,K0III
9.17,1.2,0.993,K0III
9.22,2.87,0.993,K0III
7.36,4.25,0.993,K0III
7.11,5.1,0.993,K0III
8.3,3.94,0.994,K0III
6.93,7.77,0.994,K0III
9.09,2.47,0.995,K0III
8.59,3.07,0.995,K0III
8.17,4.72,0.995,K0III
9.23,5.62,0.995,K0III
7.38,4.12,0.996,K0III
6.75,4.87,0.996,K0III
7.94,4.7,0.997,K0III
8.13,4.62,0.999,K0III
7.09,7.03,0.999,K0III
6.69,7.47,0.999,K0III
5.27,11.26,0.999,K0III
7.91,2.52,1,K0III
5.84,15.35,1,K0III
8.89,1.51,1.001,K0III
8.13,3.23,1.001,K0III
7.61,3.86,1.001,K0III
8.51,2.15,1.005,K0III
7.96,5.1,1.005,K0III
6.37,9.42,1.006,K0III
5.18,10.5,1.006,K0III
8.62,5.81,1.007,K0III
8.52,2.68,1.008,K0III
8.53,2.19,1.011,K0III
8.68,3.48,1.011,K0III
8.29,5.13,1.011,K0III
7.82,7.5,1.011,K0III
8.85,1.28,1.012,K0III
8.55,3.72,1.012,K0III
6.09,10.58,1.012,K0III
7.93,2.81,1.013,K0III
7.07,6.46,1.013,K0III
3.88,23.28,1.013,K0III
8.67,2.65,1.015,K0III
7.55,4.16,1.015,K0III
5.97,6.23,1.015,K0III
6.75,6.97,1.015,K0III
8.43,4.55,1.016,K0III
6.33,5.85,1.016,K0III
7.53,2.53,1.017,K0III
8.98,2.35,1.018,K0III
9.14,2.59,1.019,K0III
7.96,8.04,1.019,K0III
2.04,34.04,1.019,K0III
7.86,4.29,1.02,K0III
9.35,1.11,1.022,K0III
5.99,4.86,1.022,K0III
7.68,2.54,1.024,K0III
8.61,3.02,1.024,K0III
4.66,7.42,1.024,K0III
7.14,2.43,1.028,K0III
7.68,3.48,1.028,K0III
8.87,2.04,1.029,K0III
9.36,2.29,1.029,K0III
7.85,4.16,1.029,K0III
7.36,4.54,1.029,K0III
6.4,8.94,1.029,K0III
7.84,3.22,1.03,K0III
5.42,13.22,1.03,K0III
9.08,2.81,1.032,K0III
8.59,2.45,1.033,K0III
8,1.84,1.034,K0III
8,2.84,1.034,K0III
7.66,4.79,1.034,K0III
8.45,4.8,1.035,K0III
8.73,3.4,1.036,K0III
6.07,7.28,1.036,K0III
8.67,3.45,1.037,K0III
7.58,5.31,1.037,K0III
5.93,8.68,1.037,K0III
8.26,4.76,1.038,K0III
8.25,2.9,1.039,K0III
8.61,3.09,1.039,K0III
8.62,4.44,1.039,K0III
8.4,3.24,1.04,K0III
7.82,4.11,1.041,K0III
6.53,7.97,1.041,K0III
8.84,4.37,1.042,K0III
8.24,2.93,1.044,K0III
8.76,4.55,1.044,K0III
7.91,4.08,1.045,K0III
5.94,10.1,1.045,K0III
9.27,4.51,1.046,K0III
6.98,6.72,1.046,K0III
8.33,2.07,1.047,K0III
7.87,3.96,1.047,K0III
7.78,4.14,1.047,K0III
7.69,6.32,1.047,K0III
4.72,16.89,1.047,K0III
8.17,3.12,1.048,K0III
8.78,3.23,1.048,K0III
8.32,4.27,1.048,K0III
9.29,3.27,1.05,K0III
6.97,5.26,1.05,K0III
8.55,4.28,1.051,K0III
7.77,5.68,1.051,K0III
9.29,-1.52,1.052,K0III
8.45,2.38,1.053,K0III
8.25,3.27,1.059,K0III
7.24,4.98,1.059,K0III
9.37,3.39,1.06,K0III
7.98,3.78,1.061,K0III
7.87,4.97,1.061,K0III
7.26,5.48,1.061,K0III
9.51,1.93,1.062,K0III
6.45,7.03,1.063,K0III
8.9,2.74,1.064,K0III
7.29,5.38,1.064,K0III
7.32,5.85,1.064,K0III
8.68,3.07,1.065,K0III
9.27,3.45,1.065,K0III
3.6,28.48,1.065,K0III
8.67,0.6,1.066,K0III
8.11,1.27,1.067,K0III
9.26,1.63,1.068,K0III
9.33,3.34,1.068,K0III
7.31,6.95,1.068,K0III
6.39,7.27,1.069,K0III
5.38,12.69,1.069,K0III
8.86,2,1.07,K0III
9.26,2.79,1.07,K0III
6.44,6.3,1.071,K0III
9.06,0.27,1.073,K0III
8.01,1.03,1.073,K0III
5.79,10.74,1.073,K0III
9.16,0.5,1.074,K0III
9.21,1.13,1.074,K0III
6.56,6.05,1.074,K0III
8.15,1.83,1.075,K0III
8.47,1.69,1.077,K0III
8.03,2.51,1.077,K0III
8.03,3.71,1.077,K0III
7.39,5.17,1.077,K0III
6.67,5.89,1.077,K0III
7.97,6.1,1.077,K0III
7.3,3.27,1.078,K0III
8.44,2.49,1.079,K0III
6.61,4.96,1.079,K0III
8.3,0.33,1.08,K0III
9.14,2.93,1.08,K0III
